Transmitter,serial_number,fish_name,fl,tl,wt,release_site,release_location,release_date,time_surgery,time_under_anaesthesia,tag_general,tag_lifespan,min_ping,max_ping,tag_family,step1_status,step1_time,step2_status,step2_time,step3_status,step3_time
A69-1604-37699,1594955,Wilbur,130,144,27.5,LK3,lake,04/27/2024,5 mins,120s,Summer 2024,116,80,160,V6-2x-BLU-1,OFF,62 00:00:00,ON,54 00:00:00,OFF,0 00:00:00
A69-1604-32990,1576128,Wesley ,129,140,25.1,Weir,creek,10/01/2023,4 mins,45s,Spring only 2023,270,60,120,V6-2x-BLU-1,OFF,198 00:00:00,ON,72 00:00:00,OFF,0 00:00:00
A69-1604-32991,1576129,Antoine,145,159,38.5,Weir,creek,10/01/2023,4 mins,60s,Spring only 2023,270,60,120,V6-2x-BLU-1,OFF,198 00:00:00,ON,72 00:00:00,OFF,0 00:00:00
A69-1604-32997,1576135,Ophelia,125,138,25.5,Weir,creek,10/01/2023,6 mins,45s,Fall only 2023,73,33,57,V6-2x-BLU-1,ON,73 00:00:00,OFF,0 00:00:00,OFF,0 00:00:00
A69-1604-33003,1576141,Kevin,132,142,27.9,Weir,creek,09/29/2023,6 mins,120s,Spring and Fall 2023,255,80,160,V6-2x-BLU-1,ON,51 00:00:00,OFF,152 00:00:00,ON,52 00:00:00
A69-1604-33004,1576142,Tyler,135,150,37.1,Weir,creek,09/29/2023,6 mins,120s,Spring and Fall 2023,255,80,160,V6-2x-BLU-1,ON,51 00:00:00,OFF,152 00:00:00,ON,52 00:00:00
A69-1604-47750,1649240,Dale,132,147,29,CR6,creek,6/27/2025,6 mins,300s,Summer 2025,62,80,160,V6-2x-BLU-1,ON,62 00:00:00,OFF,0 00:00:00,OFF,0 00:00:00
A69-1604-47751,1649241,Huda,135,151,29,CR6,creek,6/27/2025,4 mins,120s,Summer 2025,62,80,160,V6-2x-BLU-1,ON,62 00:00:00,OFF,0 00:00:00,OFF,0 00:00:00
A69-1604-47752,1649242,Jeremiah,137,153,38,CR1,creek,6/28/2025,4 mins,480s,Summer 2025,62,80,160,V6-2x-BLU-1,ON,62 00:00:00,OFF,0 00:00:00,OFF,0 00:00:00
A69-1604-47753,1649243,Gargantua,154,172,50,CR3,creek,6/29/2025,3 mins,200s,Summer 2025,62,80,160,V6-2x-BLU-1,ON,62 00:00:00,OFF,0 00:00:00,OFF,0 00:00:00
A69-1604-47754,1649244,Edward,138,154,34,CR3,creek,6/29/2025,3mins,200s,Summer 2025,62,80,160,V6-2x-BLU-1,ON,62 00:00:00,OFF,0 00:00:00,OFF,0 00:00:00
A69-1604-47755,1649245,Bella,138,152,34,CR3,creek,6/29/2025,3 mins,120s,Summer 2025,62,80,160,V6-2x-BLU-1,ON,62 00:00:00,OFF,0 00:00:00,OFF,0 00:00:00
A69-1604-47756,1649246,Jacob,132,146,30,CR3,creek,6/29/2025,4 mins,200s,Summer 2025,62,80,160,V6-2x-BLU-1,ON,62 00:00:00,OFF,0 00:00:00,OFF,0 00:00:00
A69-1604-47757,1649247,Alice,159,183,56,CR3,creek,6/29/2025,3 mins,200s,Summer 2025,62,80,160,V6-2x-BLU-1,ON,62 00:00:00,OFF,0 00:00:00,OFF,0 00:00:00
A69-1604-47758,1649248,Skye,150,164,38,CR2,creek,6/30/2025,6 mins,200s,Summer 2025,62,80,160,V6-2x-BLU-1,ON,62 00:00:00,OFF,0 00:00:00,OFF,0 00:00:00
A69-1604-47759,1649249,Reilly,140,154,30,CR2,creek,6/30/2025,5 mins,200s,Summer 2025,62,80,160,V6-2x-BLU-1,ON,62 00:00:00,OFF,0 00:00:00,OFF,0 00:00:00
